Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas9520               Pavarde9520              7         1         2         1         3         1         
Vardas9521               Pavarde9521              4         7         5         9         9         4         
Vardas9522               Pavarde9522              1         4         5         10        6         7         
Vardas9523               Pavarde9523              1         2         3         8         7         1         
Vardas9524               Pavarde9524              8         2         4         5         2         3         
Vardas9525               Pavarde9525              10        9         3         2         9         5         
Vardas9526               Pavarde9526              1         4         4         3         2         6         
Vardas9527               Pavarde9527              6         7         6         2         5         5         
Vardas9528               Pavarde9528              2         2         9         5         9         7         
Vardas9529               Pavarde9529              7         8         1         4         2         5         
Vardas9530               Pavarde9530              3         4         8         2         6         1         
Vardas9531               Pavarde9531              7         3         2         1         2         1         
Vardas9532               Pavarde9532              4         1         7         1         10        9         
Vardas9533               Pavarde9533              10        5         9         7         8         2         
Vardas9534               Pavarde9534              8         2         1         9         5         3         
Vardas9535               Pavarde9535              10        9         6         7         5         8         
Vardas9536               Pavarde9536              10        1         3         10        6         3         
Vardas9537               Pavarde9537              3         5         4         2         7         1         
Vardas9538               Pavarde9538              9         10        6         4         1         5         
Vardas9539               Pavarde9539              4         2         7         7         7         8         
Vardas9540               Pavarde9540              9         6         5         4         7         3         
Vardas9541               Pavarde9541              2         4         2         7         4         4         
Vardas9542               Pavarde9542              4         2         10        3         5         10        
Vardas9543               Pavarde9543              10        4         2         1         2         7         
Vardas9544               Pavarde9544              7         9         8         7         5         1         
Vardas9545               Pavarde9545              8         8         1         6         4         4         
Vardas9546               Pavarde9546              7         4         9         9         8         10        
Vardas9547               Pavarde9547              8         6         5         5         7         2         
Vardas9548               Pavarde9548              6         8         2         7         4         10        
Vardas9549               Pavarde9549              7         5         7         4         1         1         
Vardas9550               Pavarde9550              6         5         9         7         9         1         
Vardas9551               Pavarde9551              4         6         8         10        6         1         
Vardas9552               Pavarde9552              10        7         8         5         1         10        
Vardas9553               Pavarde9553              6         2         5         6         2         5         
Vardas9554               Pavarde9554              4         6         7         7         7         10        
Vardas9555               Pavarde9555              4         7         10        1         8         5         
Vardas9556               Pavarde9556              2         6         3         10        10        6         
Vardas9557               Pavarde9557              5         3         6         1         10        1         
Vardas9558               Pavarde9558              9         1         4         3         8         4         
Vardas9559               Pavarde9559              1         1         9         5         8         5         
Vardas9560               Pavarde9560              8         6         4         4         3         3         
Vardas9561               Pavarde9561              7         6         3         9         4         5         
Vardas9562               Pavarde9562              8         1         5         7         3         5         
Vardas9563               Pavarde9563              1         3         10        1         8         7         
Vardas9564               Pavarde9564              8         1         5         9         2         6         
Vardas9565               Pavarde9565              1         7         9         3         8         7         
Vardas9566               Pavarde9566              7         9         6         10        7         7         
Vardas9567               Pavarde9567              9         8         6         8         9         6         
Vardas9568               Pavarde9568              10        2         3         5         6         4         
Vardas9569               Pavarde9569              1         2         5         8         10        1         
Vardas9570               Pavarde9570              4         9         6         5         6         9         
Vardas9571               Pavarde9571              9         8         9         4         1         5         
Vardas9572               Pavarde9572              8         9         3         4         8         2         
Vardas9573               Pavarde9573              7         4         7         1         2         4         
Vardas9574               Pavarde9574              7         9         8         1         3         6         
Vardas9575               Pavarde9575              3         7         2         7         9         1         
Vardas9576               Pavarde9576              4         10        7         1         9         6         
Vardas9577               Pavarde9577              4         7         6         7         6         9         
Vardas9578               Pavarde9578              1         4         6         5         2         3         
Vardas9579               Pavarde9579              3         1         2         1         4         3         
Vardas9580               Pavarde9580              7         8         1         7         10        9         
Vardas9581               Pavarde9581              4         4         7         6         10        7         
Vardas9582               Pavarde9582              9         10        5         5         9         4         
Vardas9583               Pavarde9583              8         7         6         1         9         3         
Vardas9584               Pavarde9584              9         5         9         9         3         2         
Vardas9585               Pavarde9585              8         10        1         8         2         3         
Vardas9586               Pavarde9586              3         2         8         9         5         2         
Vardas9587               Pavarde9587              10        7         5         5         3         8         
Vardas9588               Pavarde9588              7         1         5         4         9         9         
Vardas9589               Pavarde9589              6         4         7         10        6         4         
Vardas9590               Pavarde9590              6         2         9         5         5         7         
Vardas9591               Pavarde9591              3         9         1         9         6         5         
Vardas9592               Pavarde9592              10        5         4         1         1         3         
Vardas9593               Pavarde9593              5         4         1         3         7         1         
Vardas9594               Pavarde9594              7         9         4         7         9         5         
Vardas9595               Pavarde9595              2         4         8         3         10        7         
Vardas9596               Pavarde9596              6         9         6         10        7         1         
Vardas9597               Pavarde9597              2         7         9         6         5         2         
Vardas9598               Pavarde9598              9         9         7         8         10        3         
Vardas9599               Pavarde9599              8         8         2         10        6         7         
Vardas9600               Pavarde9600              10        3         9         4         6         6         
Vardas9601               Pavarde9601              5         10        6         7         7         1         
Vardas9602               Pavarde9602              2         3         8         10        9         6         
Vardas9603               Pavarde9603              7         1         3         9         3         5         
Vardas9604               Pavarde9604              2         9         6         9         5         4         
Vardas9605               Pavarde9605              4         3         5         9         10        8         
Vardas9606               Pavarde9606              1         7         3         9         2         7         
Vardas9607               Pavarde9607              9         5         4         3         5         10        
Vardas9608               Pavarde9608              4         8         8         9         1         4         
Vardas9609               Pavarde9609              5         1         5         2         8         3         
Vardas9610               Pavarde9610              1         4         10        1         8         3         
Vardas9611               Pavarde9611              9         10        9         10        6         8         
Vardas9612               Pavarde9612              7         9         6         5         3         1         
Vardas9613               Pavarde9613              7         4         4         7         3         9         
Vardas9614               Pavarde9614              10        6         3         10        10        9         
Vardas9615               Pavarde9615              10        9         3         5         6         5         
Vardas9616               Pavarde9616              2         2         2         10        10        9         
Vardas9617               Pavarde9617              6         2         10        9         2         2         
Vardas9618               Pavarde9618              9         8         2         5         7         9         
Vardas9619               Pavarde9619              1         6         8         8         7         6         
Vardas9620               Pavarde9620              7         8         6         1         10        4         
Vardas9621               Pavarde9621              10        5         4         5         5         4         
Vardas9622               Pavarde9622              7         1         9         6         4         1         
Vardas9623               Pavarde9623              4         10        6         1         4         3         
Vardas9624               Pavarde9624              1         3         4         10        5         6         
Vardas9625               Pavarde9625              6         9         1         4         9         4         
Vardas9626               Pavarde9626              7         3         10        3         1         3         
Vardas9627               Pavarde9627              9         10        10        7         1         10        
Vardas9628               Pavarde9628              3         8         3         2         9         5         
Vardas9629               Pavarde9629              10        10        2         7         4         3         
Vardas9630               Pavarde9630              8         10        4         2         5         4         
Vardas9631               Pavarde9631              9         10        1         3         6         5         
Vardas9632               Pavarde9632              7         5         9         9         7         10        
Vardas9633               Pavarde9633              8         1         10        8         4         2         
Vardas9634               Pavarde9634              5         1         9         10        9         5         
Vardas9635               Pavarde9635              8         3         10        5         7         3         
Vardas9636               Pavarde9636              9         6         1         10        7         10        
Vardas9637               Pavarde9637              6         3         1         8         5         1         
Vardas9638               Pavarde9638              4         2         8         10        7         8         
Vardas9639               Pavarde9639              5         3         3         2         4         7         
Vardas9640               Pavarde9640              6         4         5         6         2         2         
Vardas9641               Pavarde9641              4         5         6         4         10        7         
Vardas9642               Pavarde9642              6         2         7         10        10        5         
Vardas9643               Pavarde9643              8         3         2         10        7         7         
Vardas9644               Pavarde9644              2         2         1         6         3         9         
Vardas9645               Pavarde9645              6         7         1         2         9         10        
Vardas9646               Pavarde9646              7         6         6         2         5         6         
Vardas9647               Pavarde9647              8         9         4         6         8         8         
Vardas9648               Pavarde9648              7         1         6         1         10        5         
Vardas9649               Pavarde9649              1         3         10        5         5         7         
Vardas9650               Pavarde9650              1         9         6         10        4         5         
Vardas9651               Pavarde9651              10        10        10        4         8         1         
Vardas9652               Pavarde9652              5         9         5         7         2         8         
Vardas9653               Pavarde9653              9         8         9         9         5         7         
Vardas9654               Pavarde9654              9         9         1         5         7         2         
Vardas9655               Pavarde9655              5         8         3         10        3         9         
Vardas9656               Pavarde9656              10        5         4         9         10        2         
Vardas9657               Pavarde9657              6         9         3         2         6         2         
Vardas9658               Pavarde9658              4         2         8         2         6         7         
Vardas9659               Pavarde9659              2         2         5         10        9         5         
Vardas9660               Pavarde9660              9         9         5         8         2         1         
Vardas9661               Pavarde9661              2         4         5         9         5         9         
Vardas9662               Pavarde9662              5         3         5         10        5         9         
Vardas9663               Pavarde9663              10        4         6         3         7         7         
Vardas9664               Pavarde9664              9         8         3         8         1         10        
Vardas9665               Pavarde9665              7         3         6         8         8         4         
Vardas9666               Pavarde9666              2         2         1         10        1         6         
Vardas9667               Pavarde9667              4         7         3         3         6         8         
Vardas9668               Pavarde9668              10        1         4         5         1         6         
Vardas9669               Pavarde9669              2         1         10        4         8         3         
Vardas9670               Pavarde9670              3         1         4         9         2         10        
Vardas9671               Pavarde9671              4         5         2         5         7         10        
Vardas9672               Pavarde9672              1         8         8         10        2         10        
Vardas9673               Pavarde9673              4         6         8         6         4         9         
Vardas9674               Pavarde9674              6         5         6         10        10        6         
Vardas9675               Pavarde9675              2         1         3         1         3         5         
Vardas9676               Pavarde9676              3         1         1         1         8         6         
Vardas9677               Pavarde9677              4         2         5         6         10        2         
Vardas9678               Pavarde9678              2         2         7         1         10        9         
Vardas9679               Pavarde9679              8         3         7         7         2         5         
Vardas9680               Pavarde9680              8         4         7         9         9         2         
Vardas9681               Pavarde9681              10        6         1         2         1         8         
Vardas9682               Pavarde9682              10        4         2         10        9         6         
Vardas9683               Pavarde9683              8         2         5         5         10        9         
Vardas9684               Pavarde9684              10        8         5         3         4         2         
Vardas9685               Pavarde9685              3         9         2         4         5         7         
Vardas9686               Pavarde9686              7         3         9         2         8         9         
Vardas9687               Pavarde9687              5         4         3         8         10        7         
Vardas9688               Pavarde9688              8         9         3         10        9         2         
Vardas9689               Pavarde9689              2         2         5         1         2         6         
Vardas9690               Pavarde9690              5         9         5         10        2         3         
Vardas9691               Pavarde9691              2         4         9         7         9         3         
Vardas9692               Pavarde9692              7         1         10        9         7         8         
Vardas9693               Pavarde9693              9         10        6         6         7         10        
Vardas9694               Pavarde9694              2         8         3         9         8         10        
Vardas9695               Pavarde9695              9         4         10        6         7         9         
Vardas9696               Pavarde9696              5         4         10        8         4         5         
Vardas9697               Pavarde9697              2         8         3         9         5         9         
Vardas9698               Pavarde9698              7         6         5         6         4         7         
Vardas9699               Pavarde9699              7         4         10        5         4         10        
Vardas9700               Pavarde9700              1         5         9         8         5         6         
Vardas9701               Pavarde9701              1         1         8         5         5         6         
Vardas9702               Pavarde9702              6         8         2         2         6         7         
Vardas9703               Pavarde9703              9         7         6         10        7         6         
Vardas9704               Pavarde9704              1         3         5         4         7         6         
Vardas9705               Pavarde9705              1         10        3         5         7         8         
Vardas9706               Pavarde9706              3         9         10        7         9         4         
Vardas9707               Pavarde9707              10        1         9         8         9         3         
Vardas9708               Pavarde9708              7         5         2         2         9         9         
Vardas9709               Pavarde9709              3         3         9         2         3         10        
Vardas9710               Pavarde9710              4         2         3         1         9         7         
Vardas9711               Pavarde9711              9         3         10        3         4         6         
Vardas9712               Pavarde9712              1         8         8         8         7         10        
Vardas9713               Pavarde9713              6         4         1         1         3         3         
Vardas9714               Pavarde9714              8         5         6         10        2         5         
Vardas9715               Pavarde9715              10        2         6         9         10        10        
Vardas9716               Pavarde9716              8         4         6         2         10        10        
Vardas9717               Pavarde9717              10        6         7         2         3         10        
Vardas9718               Pavarde9718              5         6         2         4         5         10        
Vardas9719               Pavarde9719              4         3         1         3         5         7         
Vardas9720               Pavarde9720              10        1         5         1         2         2         
Vardas9721               Pavarde9721              10        10        3         6         7         7         
Vardas9722               Pavarde9722              9         9         8         1         9         8         
Vardas9723               Pavarde9723              4         6         10        3         2         1         
Vardas9724               Pavarde9724              9         5         2         7         6         6         
Vardas9725               Pavarde9725              6         4         9         9         7         7         
Vardas9726               Pavarde9726              9         7         4         9         5         4         
Vardas9727               Pavarde9727              9         5         6         5         4         4         
Vardas9728               Pavarde9728              7         8         6         9         9         8         
Vardas9729               Pavarde9729              3         6         1         2         2         2         
Vardas9730               Pavarde9730              9         5         7         7         8         3         
Vardas9731               Pavarde9731              9         1         5         6         10        9         
Vardas9732               Pavarde9732              3         3         10        5         2         6         
Vardas9733               Pavarde9733              3         9         2         7         7         4         
Vardas9734               Pavarde9734              3         9         7         4         8         8         
Vardas9735               Pavarde9735              5         10        6         6         8         2         
Vardas9736               Pavarde9736              7         4         2         6         6         6         
Vardas9737               Pavarde9737              2         2         9         4         7         2         
Vardas9738               Pavarde9738              4         4         1         10        5         1         
Vardas9739               Pavarde9739              6         4         4         1         3         8         
Vardas9740               Pavarde9740              6         7         6         3         1         10        
Vardas9741               Pavarde9741              4         3         10        6         10        7         
Vardas9742               Pavarde9742              1         9         8         6         1         6         
Vardas9743               Pavarde9743              4         9         1         10        10        4         
Vardas9744               Pavarde9744              1         10        4         10        7         3         
Vardas9745               Pavarde9745              3         8         6         10        2         1         
Vardas9746               Pavarde9746              5         4         2         3         2         5         
Vardas9747               Pavarde9747              4         1         7         6         9         1         
Vardas9748               Pavarde9748              7         3         10        10        6         8         
Vardas9749               Pavarde9749              6         3         5         4         9         2         
Vardas9750               Pavarde9750              6         1         7         8         6         3         
Vardas9751               Pavarde9751              4         5         8         7         1         1         
Vardas9752               Pavarde9752              3         9         10        1         1         3         
Vardas9753               Pavarde9753              10        2         10        4         2         1         
Vardas9754               Pavarde9754              6         1         4         5         5         3         
Vardas9755               Pavarde9755              7         5         2         6         5         2         
Vardas9756               Pavarde9756              9         9         2         9         2         7         
Vardas9757               Pavarde9757              8         5         9         3         1         1         
Vardas9758               Pavarde9758              10        2         6         10        4         3         
Vardas9759               Pavarde9759              5         4         5         5         8         9         
Vardas9760               Pavarde9760              5         7         2         10        2         3         
Vardas9761               Pavarde9761              2         10        2         9         4         4         
Vardas9762               Pavarde9762              8         4         10        8         3         5         
Vardas9763               Pavarde9763              1         4         8         2         6         5         
Vardas9764               Pavarde9764              6         4         4         6         4         7         
Vardas9765               Pavarde9765              2         1         1         4         5         4         
Vardas9766               Pavarde9766              4         4         9         10        1         6         
Vardas9767               Pavarde9767              8         8         9         6         10        8         
Vardas9768               Pavarde9768              8         9         5         9         7         5         
Vardas9769               Pavarde9769              10        2         2         10        10        6         
Vardas9770               Pavarde9770              5         6         9         6         8         10        
Vardas9771               Pavarde9771              7         6         3         1         7         6         
Vardas9772               Pavarde9772              6         3         4         8         10        10        
Vardas9773               Pavarde9773              4         9         5         5         2         10        
Vardas9774               Pavarde9774              9         2         4         6         9         6         
Vardas9775               Pavarde9775              1         4         9         6         4         5         
Vardas9776               Pavarde9776              4         7         6         8         8         3         
Vardas9777               Pavarde9777              4         8         9         9         3         7         
Vardas9778               Pavarde9778              2         8         8         2         3         7         
Vardas9779               Pavarde9779              5         9         4         10        2         3         
Vardas9780               Pavarde9780              6         5         7         5         6         7         
Vardas9781               Pavarde9781              5         9         7         7         2         9         
Vardas9782               Pavarde9782              3         1         5         4         6         10        
Vardas9783               Pavarde9783              1         5         2         4         7         10        
Vardas9784               Pavarde9784              10        9         4         3         3         2         
Vardas9785               Pavarde9785              10        10        3         3         6         2         
Vardas9786               Pavarde9786              10        5         3         9         9         5         
Vardas9787               Pavarde9787              6         1         4         6         5         1         
Vardas9788               Pavarde9788              10        3         2         2         4         4         
Vardas9789               Pavarde9789              7         1         1         1         6         5         
Vardas9790               Pavarde9790              7         5         4         9         1         6         
Vardas9791               Pavarde9791              9         7         6         1         9         9         
Vardas9792               Pavarde9792              8         5         8         10        4         7         
Vardas9793               Pavarde9793              7         9         10        1         7         5         
Vardas9794               Pavarde9794              7         2         9         7         9         2         
Vardas9795               Pavarde9795              9         1         5         1         9         2         
Vardas9796               Pavarde9796              7         1         7         3         8         8         
Vardas9797               Pavarde9797              9         7         7         3         10        1         
Vardas9798               Pavarde9798              3         2         1         10        1         1         
Vardas9799               Pavarde9799              1         5         4         4         2         6         
Vardas9800               Pavarde9800              5         8         2         10        4         1         
Vardas9801               Pavarde9801              10        6         1         8         7         3         
Vardas9802               Pavarde9802              2         3         10        4         7         8         
Vardas9803               Pavarde9803              10        10        5         5         6         3         
Vardas9804               Pavarde9804              3         9         7         2         3         8         
Vardas9805               Pavarde9805              6         7         2         5         6         10        
Vardas9806               Pavarde9806              6         4         7         6         5         2         
Vardas9807               Pavarde9807              5         1         4         1         3         8         
Vardas9808               Pavarde9808              4         2         10        3         5         8         
Vardas9809               Pavarde9809              3         10        10        2         6         4         
Vardas9810               Pavarde9810              9         1         5         9         7         6         
Vardas9811               Pavarde9811              8         6         1         4         5         9         
Vardas9812               Pavarde9812              2         7         8         5         5         9         
Vardas9813               Pavarde9813              3         8         2         8         3         5         
Vardas9814               Pavarde9814              1         3         7         2         1         6         
Vardas9815               Pavarde9815              1         5         6         8         9         5         
Vardas9816               Pavarde9816              10        3         9         10        7         4         
Vardas9817               Pavarde9817              1         3         9         8         1         3         
Vardas9818               Pavarde9818              3         7         1         6         3         3         
Vardas9819               Pavarde9819              8         6         2         7         8         1         
Vardas9820               Pavarde9820              6         10        10        5         3         10        
Vardas9821               Pavarde9821              6         6         1         10        2         8         
Vardas9822               Pavarde9822              9         3         10        10        8         5         
Vardas9823               Pavarde9823              3         7         10        8         1         7         
Vardas9824               Pavarde9824              7         1         3         1         7         8         
Vardas9825               Pavarde9825              5         5         7         4         3         6         
Vardas9826               Pavarde9826              7         9         5         4         7         3         
Vardas9827               Pavarde9827              2         6         7         9         1         5         
Vardas9828               Pavarde9828              10        6         10        9         4         3         
Vardas9829               Pavarde9829              10        4         8         7         10        9         
Vardas9830               Pavarde9830              7         7         5         2         3         10        
Vardas9831               Pavarde9831              6         10        5         5         2         8         
Vardas9832               Pavarde9832              10        1         7         5         5         10        
Vardas9833               Pavarde9833              10        8         6         6         3         3         
Vardas9834               Pavarde9834              6         8         8         9         6         9         
Vardas9835               Pavarde9835              10        5         5         7         10        10        
Vardas9836               Pavarde9836              1         5         6         10        1         8         
Vardas9837               Pavarde9837              6         7         7         1         7         2         
Vardas9838               Pavarde9838              8         8         2         9         9         4         
Vardas9839               Pavarde9839              3         10        3         2         3         7         
Vardas9840               Pavarde9840              1         1         6         2         1         4         
Vardas9841               Pavarde9841              3         9         2         10        2         10        
Vardas9842               Pavarde9842              3         5         1         5         5         2         
Vardas9843               Pavarde9843              2         4         6         6         7         8         
Vardas9844               Pavarde9844              7         10        9         3         6         10        
Vardas9845               Pavarde9845              10        5         7         4         5         9         
Vardas9846               Pavarde9846              6         2         1         4         7         3         
Vardas9847               Pavarde9847              6         1         8         2         9         4         
Vardas9848               Pavarde9848              10        1         8         7         3         5         
Vardas9849               Pavarde9849              6         3         3         1         1         7         
Vardas9850               Pavarde9850              4         10        4         4         9         7         
Vardas9851               Pavarde9851              5         7         1         5         9         6         
Vardas9852               Pavarde9852              3         6         5         3         4         2         
Vardas9853               Pavarde9853              2         10        7         9         1         10        
Vardas9854               Pavarde9854              4         10        8         7         5         10        
Vardas9855               Pavarde9855              1         10        8         10        5         9         
Vardas9856               Pavarde9856              4         2         7         5         9         2         
Vardas9857               Pavarde9857              6         5         9         4         7         9         
Vardas9858               Pavarde9858              5         7         3         3         7         9         
Vardas9859               Pavarde9859              10        4         8         10        1         10        
Vardas9860               Pavarde9860              5         1         1         5         10        5         
Vardas9861               Pavarde9861              3         6         9         9         9         5         
Vardas9862               Pavarde9862              4         2         6         9         7         6         
Vardas9863               Pavarde9863              6         10        2         3         3         2         
Vardas9864               Pavarde9864              10        10        7         10        3         6         
Vardas9865               Pavarde9865              2         4         5         10        5         9         
Vardas9866               Pavarde9866              3         4         9         5         9         6         
Vardas9867               Pavarde9867              3         4         9         10        4         9         
Vardas9868               Pavarde9868              4         1         8         3         5         10        
Vardas9869               Pavarde9869              3         8         2         6         4         5         
Vardas9870               Pavarde9870              5         1         6         4         3         3         
Vardas9871               Pavarde9871              4         3         8         4         9         7         
Vardas9872               Pavarde9872              4         1         3         8         10        5         
Vardas9873               Pavarde9873              4         4         5         2         8         1         
Vardas9874               Pavarde9874              9         6         8         2         9         3         
Vardas9875               Pavarde9875              4         6         1         8         1         3         
Vardas9876               Pavarde9876              8         5         1         10        10        3         
Vardas9877               Pavarde9877              10        9         1         5         3         7         
Vardas9878               Pavarde9878              5         1         9         5         6         7         
Vardas9879               Pavarde9879              3         7         8         7         6         8         
Vardas9880               Pavarde9880              3         5         3         6         4         4         
Vardas9881               Pavarde9881              2         8         3         6         8         8         
Vardas9882               Pavarde9882              5         7         3         9         2         9         
Vardas9883               Pavarde9883              7         7         3         2         8         5         
Vardas9884               Pavarde9884              5         6         1         7         2         10        
Vardas9885               Pavarde9885              8         10        1         2         4         1         
Vardas9886               Pavarde9886              9         2         9         2         9         1         
Vardas9887               Pavarde9887              6         4         6         6         6         1         
Vardas9888               Pavarde9888              2         2         10        9         6         3         
Vardas9889               Pavarde9889              1         5         10        7         10        3         
Vardas9890               Pavarde9890              8         8         7         10        8         3         
Vardas9891               Pavarde9891              1         3         10        10        6         9         
Vardas9892               Pavarde9892              8         8         3         10        4         2         
Vardas9893               Pavarde9893              8         1         10        1         8         5         
Vardas9894               Pavarde9894              9         6         1         6         9         10        
Vardas9895               Pavarde9895              10        4         3         2         3         8         
Vardas9896               Pavarde9896              9         7         6         9         5         2         
Vardas9897               Pavarde9897              7         2         5         4         3         6         
Vardas9898               Pavarde9898              4         5         9         1         3         10        
Vardas9899               Pavarde9899              7         8         6         3         9         2         
Vardas9900               Pavarde9900              3         5         3         10        3         1         
Vardas9901               Pavarde9901              6         3         6         2         10        6         
Vardas9902               Pavarde9902              7         7         9         2         6         3         
Vardas9903               Pavarde9903              4         8         4         9         8         7         
Vardas9904               Pavarde9904              4         6         3         7         6         6         
Vardas9905               Pavarde9905              9         1         1         9         2         9         
Vardas9906               Pavarde9906              5         7         2         6         5         7         
Vardas9907               Pavarde9907              3         6         6         5         6         4         
Vardas9908               Pavarde9908              4         10        4         10        2         8         
Vardas9909               Pavarde9909              7         7         8         9         9         2         
Vardas9910               Pavarde9910              8         3         4         4         10        2         
Vardas9911               Pavarde9911              3         9         8         1         3         3         
Vardas9912               Pavarde9912              7         9         5         9         9         6         
Vardas9913               Pavarde9913              5         3         5         4         4         1         
Vardas9914               Pavarde9914              10        6         4         2         2         2         
Vardas9915               Pavarde9915              1         7         1         9         4         8         
Vardas9916               Pavarde9916              3         9         9         8         3         7         
Vardas9917               Pavarde9917              4         6         3         7         4         9         
Vardas9918               Pavarde9918              1         1         1         1         9         1         
Vardas9919               Pavarde9919              5         9         2         2         7         9         
Vardas9920               Pavarde9920              1         3         2         6         6         7         
Vardas9921               Pavarde9921              9         9         3         7         6         8         
Vardas9922               Pavarde9922              8         9         9         5         9         4         
Vardas9923               Pavarde9923              7         7         9         3         3         1         
Vardas9924               Pavarde9924              7         2         2         4         5         5         
Vardas9925               Pavarde9925              3         3         10        5         5         10        
