Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas2301               Pavarde2301              7         10        1         9         8         10        
Vardas2302               Pavarde2302              6         1         10        7         8         4         
Vardas2303               Pavarde2303              6         8         2         5         10        9         
Vardas2304               Pavarde2304              10        2         1         3         9         10        
Vardas2305               Pavarde2305              2         7         8         6         4         5         
Vardas2306               Pavarde2306              10        3         10        5         7         7         
Vardas2307               Pavarde2307              4         5         6         6         7         9         
Vardas2308               Pavarde2308              7         1         4         6         6         5         
Vardas2309               Pavarde2309              7         3         10        7         5         1         
Vardas2310               Pavarde2310              9         5         10        2         8         5         
Vardas2311               Pavarde2311              9         6         9         5         10        3         
Vardas2312               Pavarde2312              9         5         3         4         3         1         
Vardas2313               Pavarde2313              8         3         9         8         4         3         
Vardas2314               Pavarde2314              5         3         2         9         3         1         
Vardas2315               Pavarde2315              2         10        9         1         6         9         
Vardas2316               Pavarde2316              1         5         10        1         1         6         
Vardas2317               Pavarde2317              8         10        1         10        1         8         
Vardas2318               Pavarde2318              9         2         4         10        8         6         
Vardas2319               Pavarde2319              2         7         4         7         10        3         
Vardas2320               Pavarde2320              3         1         5         4         6         7         
Vardas2321               Pavarde2321              9         10        7         9         2         3         
Vardas2322               Pavarde2322              9         10        6         2         7         1         
Vardas2323               Pavarde2323              4         9         4         6         6         2         
Vardas2324               Pavarde2324              8         4         5         1         3         5         
Vardas2325               Pavarde2325              5         8         4         2         10        10        
Vardas2326               Pavarde2326              3         4         3         3         10        1         
Vardas2327               Pavarde2327              8         7         8         8         8         3         
Vardas2328               Pavarde2328              5         4         8         8         9         10        
Vardas2329               Pavarde2329              3         8         9         2         5         10        
Vardas2330               Pavarde2330              9         5         7         3         9         8         
Vardas2331               Pavarde2331              7         5         4         10        9         5         
Vardas2332               Pavarde2332              4         3         2         10        7         6         
Vardas2333               Pavarde2333              3         2         5         3         3         7         
Vardas2334               Pavarde2334              7         8         5         7         3         2         
Vardas2335               Pavarde2335              7         4         9         8         8         2         
Vardas2336               Pavarde2336              2         9         9         2         7         10        
Vardas2337               Pavarde2337              1         7         3         5         7         7         
Vardas2338               Pavarde2338              1         2         2         9         5         8         
Vardas2339               Pavarde2339              7         4         4         8         5         3         
Vardas2340               Pavarde2340              2         7         9         7         8         10        
Vardas2341               Pavarde2341              2         4         9         4         9         7         
Vardas2342               Pavarde2342              1         8         3         9         5         10        
Vardas2343               Pavarde2343              7         2         8         7         1         10        
Vardas2344               Pavarde2344              10        8         5         6         2         10        
Vardas2345               Pavarde2345              3         3         2         1         3         2         
Vardas2346               Pavarde2346              9         10        1         3         4         3         
Vardas2347               Pavarde2347              5         10        2         5         7         7         
Vardas2348               Pavarde2348              6         5         1         2         6         5         
Vardas2349               Pavarde2349              1         3         7         4         5         10        
Vardas2350               Pavarde2350              9         9         8         1         4         4         
Vardas2351               Pavarde2351              7         8         5         6         10        3         
Vardas2352               Pavarde2352              5         2         7         1         2         8         
Vardas2353               Pavarde2353              2         5         5         6         7         1         
Vardas2354               Pavarde2354              4         1         2         9         3         4         
Vardas2355               Pavarde2355              5         4         5         4         1         6         
Vardas2356               Pavarde2356              5         8         2         9         2         7         
Vardas2357               Pavarde2357              3         5         1         6         4         1         
Vardas2358               Pavarde2358              8         7         7         3         5         2         
Vardas2359               Pavarde2359              7         5         10        10        2         7         
Vardas2360               Pavarde2360              1         4         5         8         9         6         
Vardas2361               Pavarde2361              3         2         4         5         4         5         
Vardas2362               Pavarde2362              7         7         1         4         4         8         
Vardas2363               Pavarde2363              8         6         2         8         6         4         
Vardas2364               Pavarde2364              3         1         2         1         8         1         
Vardas2365               Pavarde2365              1         5         6         9         8         7         
Vardas2366               Pavarde2366              3         1         8         10        9         8         
Vardas2367               Pavarde2367              2         6         2         8         7         6         
Vardas2368               Pavarde2368              3         6         9         2         6         4         
Vardas2369               Pavarde2369              5         3         10        2         5         5         
Vardas2370               Pavarde2370              5         9         6         10        3         4         
Vardas2371               Pavarde2371              3         9         5         4         4         7         
Vardas2372               Pavarde2372              9         7         6         1         8         2         
Vardas2373               Pavarde2373              4         6         9         5         9         3         
Vardas2374               Pavarde2374              10        8         9         1         5         7         
Vardas2375               Pavarde2375              10        7         1         4         6         1         
Vardas2376               Pavarde2376              3         2         5         3         6         8         
Vardas2377               Pavarde2377              3         9         8         8         8         3         
Vardas2378               Pavarde2378              5         8         5         4         5         8         
Vardas2379               Pavarde2379              2         6         6         2         3         4         
Vardas2380               Pavarde2380              3         2         1         1         10        5         
Vardas2381               Pavarde2381              8         9         4         10        5         10        
Vardas2382               Pavarde2382              4         4         10        8         3         1         
Vardas2383               Pavarde2383              4         9         2         3         6         9         
Vardas2384               Pavarde2384              3         2         5         2         7         3         
Vardas2385               Pavarde2385              3         5         6         3         9         5         
Vardas2386               Pavarde2386              6         3         4         6         10        6         
Vardas2387               Pavarde2387              3         5         2         3         7         10        
Vardas2388               Pavarde2388              5         1         5         8         3         9         
Vardas2389               Pavarde2389              9         9         4         1         6         8         
Vardas2390               Pavarde2390              2         2         8         6         2         5         
Vardas2391               Pavarde2391              7         5         7         1         5         1         
Vardas2392               Pavarde2392              8         7         5         9         7         7         
Vardas2393               Pavarde2393              4         9         7         5         4         5         
Vardas2394               Pavarde2394              9         9         7         7         8         8         
Vardas2395               Pavarde2395              8         6         8         1         3         8         
Vardas2396               Pavarde2396              5         1         9         2         7         4         
Vardas2397               Pavarde2397              7         1         7         7         8         2         
Vardas2398               Pavarde2398              4         4         7         5         9         7         
Vardas2399               Pavarde2399              1         10        5         10        8         6         
Vardas2400               Pavarde2400              9         7         5         2         3         4         
Vardas2401               Pavarde2401              9         1         3         2         7         7         
Vardas2402               Pavarde2402              4         5         10        4         6         9         
Vardas2403               Pavarde2403              10        2         8         9         9         6         
Vardas2404               Pavarde2404              6         5         4         10        7         8         
Vardas2405               Pavarde2405              3         1         7         5         5         6         
Vardas2406               Pavarde2406              10        4         2         9         2         6         
Vardas2407               Pavarde2407              7         1         10        9         2         1         
Vardas2408               Pavarde2408              1         7         6         4         3         3         
Vardas2409               Pavarde2409              7         9         4         9         6         7         
Vardas2410               Pavarde2410              6         6         10        5         5         4         
Vardas2411               Pavarde2411              5         8         5         4         1         10        
Vardas2412               Pavarde2412              8         2         8         9         8         2         
Vardas2413               Pavarde2413              9         2         5         10        4         8         
Vardas2414               Pavarde2414              3         3         8         1         2         10        
Vardas2415               Pavarde2415              2         9         6         4         1         8         
Vardas2416               Pavarde2416              10        4         7         1         3         4         
Vardas2417               Pavarde2417              10        2         6         8         6         2         
Vardas2418               Pavarde2418              5         5         5         2         3         7         
Vardas2419               Pavarde2419              9         5         9         3         4         1         
Vardas2420               Pavarde2420              3         10        5         6         9         9         
Vardas2421               Pavarde2421              4         1         6         6         1         8         
Vardas2422               Pavarde2422              6         8         3         7         10        3         
Vardas2423               Pavarde2423              8         1         10        4         9         3         
Vardas2424               Pavarde2424              10        9         7         8         5         4         
Vardas2425               Pavarde2425              2         7         3         5         6         2         
Vardas2426               Pavarde2426              3         4         10        8         3         10        
Vardas2427               Pavarde2427              7         6         4         3         1         2         
Vardas2428               Pavarde2428              1         1         10        2         9         4         
Vardas2429               Pavarde2429              9         1         2         4         4         6         
Vardas2430               Pavarde2430              9         5         1         5         5         5         
Vardas2431               Pavarde2431              10        10        6         1         1         4         
Vardas2432               Pavarde2432              9         7         8         6         8         2         
Vardas2433               Pavarde2433              9         5         9         6         8         10        
Vardas2434               Pavarde2434              4         4         3         6         6         3         
Vardas2435               Pavarde2435              9         9         3         1         6         5         
Vardas2436               Pavarde2436              9         1         6         4         3         1         
Vardas2437               Pavarde2437              8         9         3         6         6         2         
Vardas2438               Pavarde2438              8         7         1         7         9         3         
Vardas2439               Pavarde2439              8         8         3         5         5         6         
Vardas2440               Pavarde2440              2         4         10        10        4         6         
Vardas2441               Pavarde2441              8         2         8         1         1         2         
Vardas2442               Pavarde2442              1         5         4         3         4         4         
Vardas2443               Pavarde2443              4         8         9         8         3         9         
Vardas2444               Pavarde2444              6         8         2         4         7         2         
Vardas2445               Pavarde2445              6         7         4         5         3         4         
Vardas2446               Pavarde2446              5         3         4         4         6         7         
Vardas2447               Pavarde2447              9         7         5         3         6         10        
Vardas2448               Pavarde2448              5         6         3         5         9         9         
Vardas2449               Pavarde2449              1         2         5         2         6         9         
Vardas2450               Pavarde2450              8         10        2         10        2         4         
Vardas2451               Pavarde2451              8         6         10        10        7         4         
Vardas2452               Pavarde2452              3         2         5         1         1         2         
Vardas2453               Pavarde2453              3         5         2         3         4         10        
Vardas2454               Pavarde2454              1         10        1         3         1         8         
Vardas2455               Pavarde2455              7         4         6         2         1         3         
Vardas2456               Pavarde2456              6         8         4         1         4         3         
Vardas2457               Pavarde2457              1         5         2         1         8         10        
Vardas2458               Pavarde2458              10        5         9         8         7         2         
Vardas2459               Pavarde2459              3         8         5         6         9         6         
Vardas2460               Pavarde2460              4         1         2         2         9         4         
Vardas2461               Pavarde2461              1         9         8         5         4         9         
Vardas2462               Pavarde2462              5         6         9         1         9         7         
Vardas2463               Pavarde2463              5         3         5         3         2         10        
Vardas2464               Pavarde2464              4         6         7         9         8         10        
Vardas2465               Pavarde2465              5         8         2         3         1         10        
Vardas2466               Pavarde2466              2         5         7         3         1         5         
Vardas2467               Pavarde2467              7         3         6         3         1         1         
Vardas2468               Pavarde2468              7         8         1         4         3         5         
Vardas2469               Pavarde2469              5         6         7         10        3         2         
Vardas2470               Pavarde2470              4         8         3         5         5         3         
Vardas2471               Pavarde2471              3         4         8         4         7         2         
Vardas2472               Pavarde2472              10        10        8         2         2         9         
Vardas2473               Pavarde2473              1         10        3         5         10        5         
Vardas2474               Pavarde2474              10        7         1         10        10        5         
Vardas2475               Pavarde2475              3         9         1         4         5         1         
Vardas2476               Pavarde2476              7         8         4         3         3         7         
Vardas2477               Pavarde2477              1         6         3         4         1         10        
Vardas2478               Pavarde2478              2         9         5         10        9         2         
Vardas2479               Pavarde2479              6         2         2         4         9         2         
Vardas2480               Pavarde2480              4         4         4         1         4         9         
Vardas2481               Pavarde2481              1         2         1         9         5         1         
Vardas2482               Pavarde2482              6         9         6         8         6         7         
Vardas2483               Pavarde2483              9         4         2         1         3         7         
Vardas2484               Pavarde2484              10        8         4         7         3         4         
Vardas2485               Pavarde2485              9         1         1         6         4         8         
Vardas2486               Pavarde2486              1         10        4         7         8         1         
Vardas2487               Pavarde2487              6         1         3         3         8         8         
Vardas2488               Pavarde2488              5         4         6         4         6         3         
Vardas2489               Pavarde2489              2         1         7         6         2         2         
Vardas2490               Pavarde2490              5         2         1         6         4         9         
Vardas2491               Pavarde2491              6         1         4         8         8         4         
Vardas2492               Pavarde2492              4         5         10        9         4         9         
Vardas2493               Pavarde2493              3         7         4         3         4         3         
Vardas2494               Pavarde2494              8         9         1         3         5         6         
Vardas2495               Pavarde2495              4         7         3         1         4         6         
Vardas2496               Pavarde2496              6         2         9         8         1         1         
Vardas2497               Pavarde2497              4         5         6         7         2         7         
Vardas2498               Pavarde2498              5         8         5         2         7         7         
Vardas2499               Pavarde2499              1         4         5         9         4         6         
Vardas2500               Pavarde2500              3         2         2         5         2         1         
Vardas2501               Pavarde2501              2         8         6         10        2         10        
Vardas2502               Pavarde2502              1         1         10        10        3         2         
Vardas2503               Pavarde2503              6         2         1         10        1         5         
Vardas2504               Pavarde2504              1         3         2         7         4         10        
Vardas2505               Pavarde2505              4         4         10        9         2         5         
Vardas2506               Pavarde2506              5         3         10        9         5         2         
Vardas2507               Pavarde2507              5         2         10        8         7         1         
Vardas2508               Pavarde2508              3         7         9         5         5         10        
Vardas2509               Pavarde2509              4         6         9         8         9         3         
Vardas2510               Pavarde2510              10        6         1         1         4         6         
Vardas2511               Pavarde2511              3         5         1         2         2         7         
Vardas2512               Pavarde2512              10        7         3         1         7         8         
Vardas2513               Pavarde2513              1         1         4         8         8         1         
Vardas2514               Pavarde2514              1         9         1         1         2         10        
Vardas2515               Pavarde2515              8         10        4         4         9         2         
Vardas2516               Pavarde2516              6         2         9         1         8         6         
Vardas2517               Pavarde2517              8         3         4         9         3         10        
Vardas2518               Pavarde2518              1         7         7         9         9         7         
Vardas2519               Pavarde2519              1         8         2         8         3         8         
Vardas2520               Pavarde2520              10        5         6         2         2         9         
Vardas2521               Pavarde2521              8         10        2         7         8         2         
Vardas2522               Pavarde2522              3         6         5         8         10        9         
Vardas2523               Pavarde2523              10        10        1         4         9         10        
Vardas2524               Pavarde2524              9         5         4         9         7         3         
Vardas2525               Pavarde2525              4         2         4         5         2         2         
Vardas2526               Pavarde2526              1         3         6         5         7         5         
Vardas2527               Pavarde2527              7         2         3         6         7         6         
Vardas2528               Pavarde2528              3         10        9         4         3         4         
Vardas2529               Pavarde2529              1         8         8         9         3         3         
Vardas2530               Pavarde2530              2         2         3         6         9         1         
Vardas2531               Pavarde2531              4         8         10        8         5         3         
Vardas2532               Pavarde2532              4         10        6         2         8         1         
Vardas2533               Pavarde2533              6         10        1         2         4         1         
Vardas2534               Pavarde2534              6         5         4         5         9         9         
Vardas2535               Pavarde2535              5         1         7         6         2         8         
Vardas2536               Pavarde2536              9         10        6         8         2         10        
Vardas2537               Pavarde2537              5         7         2         3         9         4         
Vardas2538               Pavarde2538              5         8         6         10        9         5         
Vardas2539               Pavarde2539              7         7         9         3         2         2         
Vardas2540               Pavarde2540              5         9         6         10        9         4         
Vardas2541               Pavarde2541              8         9         10        6         7         2         
Vardas2542               Pavarde2542              6         9         5         4         6         6         
Vardas2543               Pavarde2543              1         8         10        10        8         10        
Vardas2544               Pavarde2544              8         2         1         2         8         10        
Vardas2545               Pavarde2545              10        2         5         6         6         4         
Vardas2546               Pavarde2546              6         1         4         6         9         1         
Vardas2547               Pavarde2547              1         9         5         6         4         10        
Vardas2548               Pavarde2548              6         2         9         9         8         6         
Vardas2549               Pavarde2549              6         10        9         5         3         5         
Vardas2550               Pavarde2550              3         7         3         1         7         8         
Vardas2551               Pavarde2551              4         8         1         8         10        7         
Vardas2552               Pavarde2552              2         4         9         5         1         10        
Vardas2553               Pavarde2553              7         6         7         10        6         9         
Vardas2554               Pavarde2554              3         8         10        9         6         4         
Vardas2555               Pavarde2555              9         3         10        9         3         6         
Vardas2556               Pavarde2556              7         9         3         10        10        4         
Vardas2557               Pavarde2557              7         2         2         4         3         2         
Vardas2558               Pavarde2558              10        10        1         2         5         10        
Vardas2559               Pavarde2559              10        9         6         7         10        6         
Vardas2560               Pavarde2560              1         1         8         7         3         3         
Vardas2561               Pavarde2561              5         7         4         6         10        10        
Vardas2562               Pavarde2562              8         2         4         3         6         2         
Vardas2563               Pavarde2563              10        10        4         6         1         1         
Vardas2564               Pavarde2564              10        6         3         7         3         3         
Vardas2565               Pavarde2565              5         2         3         10        8         1         
Vardas2566               Pavarde2566              3         8         3         8         5         4         
Vardas2567               Pavarde2567              8         4         8         2         6         9         
Vardas2568               Pavarde2568              7         10        8         8         7         3         
Vardas2569               Pavarde2569              1         4         3         2         8         1         
Vardas2570               Pavarde2570              5         10        4         10        2         3         
Vardas2571               Pavarde2571              5         9         4         8         5         2         
Vardas2572               Pavarde2572              3         3         8         7         6         7         
Vardas2573               Pavarde2573              3         10        10        1         4         2         
Vardas2574               Pavarde2574              10        6         5         4         6         8         
Vardas2575               Pavarde2575              5         2         4         2         1         7         
Vardas2576               Pavarde2576              2         8         8         8         3         1         
Vardas2577               Pavarde2577              2         1         10        9         9         4         
Vardas2578               Pavarde2578              2         6         10        3         7         4         
Vardas2579               Pavarde2579              5         7         6         1         9         10        
Vardas2580               Pavarde2580              10        4         9         2         2         10        
Vardas2581               Pavarde2581              8         3         8         4         8         8         
Vardas2582               Pavarde2582              9         7         1         1         3         6         
Vardas2583               Pavarde2583              6         9         1         7         8         2         
Vardas2584               Pavarde2584              7         4         6         2         3         8         
Vardas2585               Pavarde2585              10        3         3         2         3         8         
Vardas2586               Pavarde2586              3         1         2         4         3         7         
Vardas2587               Pavarde2587              8         6         1         8         5         10        
Vardas2588               Pavarde2588              10        7         1         10        7         6         
Vardas2589               Pavarde2589              9         5         3         2         1         3         
Vardas2590               Pavarde2590              4         3         7         4         8         10        
Vardas2591               Pavarde2591              5         5         9         6         6         8         
Vardas2592               Pavarde2592              10        6         8         6         3         9         
Vardas2593               Pavarde2593              2         7         5         9         4         9         
Vardas2594               Pavarde2594              1         7         3         3         7         6         
Vardas2595               Pavarde2595              10        9         8         10        4         3         
Vardas2596               Pavarde2596              9         8         7         8         10        1         
Vardas2597               Pavarde2597              7         4         6         2         3         8         
Vardas2598               Pavarde2598              8         9         9         1         6         10        
Vardas2599               Pavarde2599              10        8         3         10        4         9         
Vardas2600               Pavarde2600              3         9         10        10        10        3         
Vardas2601               Pavarde2601              2         8         3         4         7         5         
Vardas2602               Pavarde2602              1         7         4         8         6         1         
Vardas2603               Pavarde2603              10        7         1         5         10        1         
Vardas2604               Pavarde2604              5         4         8         6         7         9         
Vardas2605               Pavarde2605              6         6         4         8         2         10        
Vardas2606               Pavarde2606              1         6         10        9         8         8         
Vardas2607               Pavarde2607              1         3         8         9         4         5         
Vardas2608               Pavarde2608              10        2         3         9         3         10        
Vardas2609               Pavarde2609              4         8         7         8         5         10        
Vardas2610               Pavarde2610              10        10        7         10        3         6         
Vardas2611               Pavarde2611              6         2         1         9         9         9         
Vardas2612               Pavarde2612              10        10        4         5         7         8         
Vardas2613               Pavarde2613              6         8         3         8         8         2         
Vardas2614               Pavarde2614              2         7         10        4         10        10        
Vardas2615               Pavarde2615              4         1         3         3         10        1         
Vardas2616               Pavarde2616              2         7         8         8         4         5         
Vardas2617               Pavarde2617              6         1         7         9         10        4         
Vardas2618               Pavarde2618              6         9         2         3         5         6         
Vardas2619               Pavarde2619              2         4         10        1         5         2         
Vardas2620               Pavarde2620              8         5         9         5         10        7         
Vardas2621               Pavarde2621              5         2         5         5         5         3         
Vardas2622               Pavarde2622              2         4         3         2         10        9         
Vardas2623               Pavarde2623              6         2         2         2         3         9         
Vardas2624               Pavarde2624              2         3         9         10        9         2         
Vardas2625               Pavarde2625              6         5         6         4         9         8         
Vardas2626               Pavarde2626              5         7         4         9         7         3         
Vardas2627               Pavarde2627              5         8         8         9         8         1         
Vardas2628               Pavarde2628              1         6         7         5         1         10        
Vardas2629               Pavarde2629              8         3         10        4         5         1         
Vardas2630               Pavarde2630              2         10        10        8         1         9         
Vardas2631               Pavarde2631              1         9         2         5         3         4         
Vardas2632               Pavarde2632              5         7         2         6         4         4         
Vardas2633               Pavarde2633              8         3         1         2         5         3         
Vardas2634               Pavarde2634              4         5         6         2         4         5         
Vardas2635               Pavarde2635              1         9         2         7         9         7         
Vardas2636               Pavarde2636              4         4         10        10        6         1         
Vardas2637               Pavarde2637              10        5         5         9         5         3         
Vardas2638               Pavarde2638              2         10        2         2         2         3         
Vardas2639               Pavarde2639              4         7         4         7         6         10        
Vardas2640               Pavarde2640              3         9         8         7         4         9         
Vardas2641               Pavarde2641              10        1         10        10        9         5         
Vardas2642               Pavarde2642              8         8         10        9         2         9         
Vardas2643               Pavarde2643              10        3         6         3         5         9         
Vardas2644               Pavarde2644              6         1         9         8         10        9         
Vardas2645               Pavarde2645              4         4         3         3         6         9         
Vardas2646               Pavarde2646              4         8         8         9         1         9         
Vardas2647               Pavarde2647              4         1         2         9         4         10        
Vardas2648               Pavarde2648              8         3         3         7         5         6         
Vardas2649               Pavarde2649              8         6         1         7         4         6         
Vardas2650               Pavarde2650              6         1         7         10        8         5         
Vardas2651               Pavarde2651              7         1         3         1         4         2         
Vardas2652               Pavarde2652              9         1         1         2         2         1         
Vardas2653               Pavarde2653              2         7         6         8         5         7         
Vardas2654               Pavarde2654              3         4         2         7         5         8         
Vardas2655               Pavarde2655              4         6         8         3         8         6         
Vardas2656               Pavarde2656              5         6         7         2         4         9         
Vardas2657               Pavarde2657              4         9         9         1         7         1         
Vardas2658               Pavarde2658              2         4         5         9         1         5         
Vardas2659               Pavarde2659              2         6         9         6         8         7         
Vardas2660               Pavarde2660              1         6         6         2         9         5         
Vardas2661               Pavarde2661              4         8         9         3         6         7         
Vardas2662               Pavarde2662              1         7         4         3         10        10        
Vardas2663               Pavarde2663              10        10        6         9         6         2         
Vardas2664               Pavarde2664              10        2         1         5         2         10        
Vardas2665               Pavarde2665              4         7         7         10        9         3         
Vardas2666               Pavarde2666              2         3         5         10        5         4         
Vardas2667               Pavarde2667              1         8         3         8         7         9         
Vardas2668               Pavarde2668              4         7         6         7         1         4         
Vardas2669               Pavarde2669              9         6         5         5         7         2         
Vardas2670               Pavarde2670              3         7         4         6         2         8         
Vardas2671               Pavarde2671              3         2         10        9         3         5         
Vardas2672               Pavarde2672              8         2         6         2         8         9         
Vardas2673               Pavarde2673              8         2         9         6         5         6         
Vardas2674               Pavarde2674              7         1         2         5         6         2         
Vardas2675               Pavarde2675              6         10        5         5         8         5         
Vardas2676               Pavarde2676              4         4         7         7         1         7         
Vardas2677               Pavarde2677              5         1         8         3         6         9         
Vardas2678               Pavarde2678              10        3         4         3         10        1         
Vardas2679               Pavarde2679              1         7         5         3         4         7         
Vardas2680               Pavarde2680              7         3         6         5         1         6         
Vardas2681               Pavarde2681              1         6         5         10        4         1         
Vardas2682               Pavarde2682              3         4         1         1         7         9         
Vardas2683               Pavarde2683              3         4         10        7         9         8         
Vardas2684               Pavarde2684              5         4         1         7         9         5         
Vardas2685               Pavarde2685              4         2         6         4         1         5         
Vardas2686               Pavarde2686              8         7         1         3         3         3         
Vardas2687               Pavarde2687              6         6         4         1         2         6         
Vardas2688               Pavarde2688              7         1         8         4         3         1         
Vardas2689               Pavarde2689              8         7         7         7         1         5         
Vardas2690               Pavarde2690              2         4         2         10        7         9         
Vardas2691               Pavarde2691              2         7         4         6         1         8         
Vardas2692               Pavarde2692              6         4         4         4         3         1         
Vardas2693               Pavarde2693              1         1         10        9         10        1         
Vardas2694               Pavarde2694              1         6         6         3         4         1         
Vardas2695               Pavarde2695              9         3         1         8         2         7         
Vardas2696               Pavarde2696              2         3         3         8         1         3         
Vardas2697               Pavarde2697              5         10        8         7         8         9         
Vardas2698               Pavarde2698              9         3         8         10        8         7         
Vardas2699               Pavarde2699              9         7         6         7         3         4         
Vardas2700               Pavarde2700              1         1         9         3         8         10        
Vardas2701               Pavarde2701              9         5         1         2         5         10        
Vardas2702               Pavarde2702              6         3         5         3         9         1         
Vardas2703               Pavarde2703              1         6         5         7         3         7         
Vardas2704               Pavarde2704              10        3         7         2         3         9         
Vardas2705               Pavarde2705              1         5         1         10        3         4         
Vardas2706               Pavarde2706              10        4         6         5         3         10        
